,entity,label,count
341,"('Taanis',)",LOC,1
342,"('TeleDanmarki',)",ORG,2
343,"('SBC',)",ORG,1
344,"('Teliat',)",ORG,1
345,"('Enskilda', 'Securitiese')",PER,1
346,"('Kenneth', 'Graversen')",PER,1
347,"('Dagens', 'Industri')",ORG,1
348,"('TeleDanmark',)",ORG,2
349,"('TDC', 'Mobile', 'International')",ORG,1
350,"('TeleDanmark', 'Mobili')",ORG,1
351,"('Taanit',)",LOC,1
352,"('Põhjamaad',)",LOC,1
353,"('Graversen',)",PER,1
354,"('John', 'Strand')",PER,1
355,"('Deutsche', 'Telekomi')",ORG,1
356,"('SBSi',)",ORG,1
357,"('Q', 'GSM')",ORG,1
358,"('Q', 'GSM-i')",ORG,1
359,"('Üllar', 'Jaaksoo')",PER,1
360,"('NetCom', 'Tele2')",ORG,1
361,"('Eesti', 'Telefoni')",ORG,4
362,"('Jaaksoo',)",PER,1
363,"('HK', 'Ruokatalo')",ORG,2
364,"('AS-i', 'Linnulihatooted')",ORG,1
365,"('Helsingi',)",LOC,12
366,"('AS-i', 'Linnulihatoodete')",ORG,1
367,"('Rakvere', 'Lihakombinaat')",ORG,1
368,"('Adidase',)",ORG,1
369,"('Andres', 'Aavik')",PER,1
370,"('Aavik',)",PER,9
371,"('Eestist',)",LOC,7
372,"('Pärnu', 'Postimehele')",ORG,2
373,"('Aavik', 'Edela')",PER,1
374,"('Euroopast',)",LOC,1
375,"('Pärnus',)",LOC,3
376,"('Hollandisse',)",LOC,1
377,"('Adidase',)",LOC,1
378,"('Saksamaal',)",LOC,10
379,"('Aaviku',)",PER,1
380,"('Aavikut',)",PER,1
381,"('AS', 'SEBE')",ORG,2
382,"('Haapsalu',)",LOC,2
383,"('Kuressaare',)",LOC,2
384,"('Tallinn',)",LOC,15
385,"('Tartust',)",LOC,2
386,"('Haapsalu', 'linna')",LOC,1
387,"('Haapsalu', 'Soojus')",ORG,2
388,"('Haapsallu',)",LOC,1
389,"('ASi', 'Eraküte')",ORG,1
390,"('Leino', 'Schnur')",PER,1
391,"('Haapsalus',)",LOC,2
392,"('Lääne', 'Elule')",ORG,1
393,"('Haapsalu', 'Soojus')",PER,1
394,"('Haapsalu', 'Uksetehaselt')",ORG,1
395,"('Läänemaal',)",LOC,3
396,"('Haapsalu', 'Soojuse')",ORG,1
397,"('Rein', 'Paju')",PER,1
398,"('Paju',)",PER,5
399,"('Läänemaa',)",LOC,2
400,"('Läänemaa', 'Talupidajate', 'Liidu')",ORG,1
401,"('Mihkel', 'Jairus')",PER,1
402,"('Jairus',)",PER,1
403,"('Prantsuse',)",LOC,4
404,"('Dalkia',)",LOC,1
405,"('Valga',)",LOC,1
406,"('DoubleClick', ""Inc'ile"")",PER,1
407,"('New', 'Yorgis')",LOC,2
408,"('Yahoo',)",PER,2
409,"('ValueClick', 'Inc')",PER,1
410,"('Mediaplex', 'Inc')",PER,1
411,"('Media', 'Inc')",ORG,1
412,"('Avenue', 'A', 'Inc')",ORG,1
413,"('America', 'Montgomery', 'Panga')",ORG,1
414,"('Siim', 'Kallas')",PER,3
415,"('Kristjan-Erik', 'Suurvälja')",PER,1
416,"('Rahvusvahelise', 'Sotsiaalteaduste', 'Kõrgkooli', 'Lex')",ORG,1
417,"('Maastrichti', 'ülikoolis')",ORG,1
418,"('Tallinna', 'Koolidevahelises', 'õppekeskuses')",ORG,1
419,"('Saue', 'vallavalitsuses')",ORG,1
420,"('Garth', 'Alexander', 'The')",PER,1
421,"('Sunday', 'Times')",ORG,1
422,"('JAAPAN',)",LOC,1
423,"('Tadayo', 'Honma')",PER,1
424,"('Nippon', 'Credit', 'Banki')",ORG,1
425,"('Softbank',)",ORG,1
426,"('Sinine', 'Taevas')",PER,1
427,"('Aozora',)",ORG,1
428,"('Honma',)",PER,1
429,"('Honma', 'Osaka')",PER,1
430,"('Jaapani',)",LOC,11
431,"('Robbie',)",PER,1
432,"('Feldman',)",PER,1
433,"('Tokios',)",LOC,1
434,"('Jaapan',)",LOC,5
435,"('Yoshiro', 'Mori')",PER,1
436,"('Rahandusliku', 'Rekonstruktsiooni', 'Komitee')",ORG,1
437,"('RRK',)",ORG,2
438,"('Nikkei',)",PER,1
439,"('Softbanki',)",ORG,1
440,"('Hikari', 'Tsushini')",PER,1
441,"('Sogo',)",PER,2
442,"('Kyoei', 'Life')",PER,1
