lemma,inflect_type,pos,case,form
assürioloogia,1,S,sg n,assürioloogia
assürioloogia,1,S,sg g,assürioloogia
astaasia,1,S,sg n,astaasia
astaasia,1,S,sg g,astaasia
asteenia,1,S,sg n,asteenia
asteenia,1,S,sg g,asteenia
astendaja,1,S,sg n,astendaja
astendaja,1,S,sg g,astendaja
astja,1,S,sg n,astja
astja,1,S,sg g,astja
astma,1,S,sg n,astma
astma,1,S,sg g,astma
Astoria,1,H,sg n,Astoria
Astoria,1,H,sg g,Astoria
Astra,1,H,sg n,Astra
Astra,1,H,sg g,Astra
astroloogia,1,S,sg n,astroloogia
astroloogia,1,S,sg g,astroloogia
astromeetria,1,S,sg n,astromeetria
astromeetria,1,S,sg g,astromeetria
astronautika,1,S,sg n,astronautika
astronautika,1,S,sg g,astronautika
astronoomia,1,S,sg n,astronoomia
astronoomia,1,S,sg g,astronoomia
astuja,1,S,sg n,astuja
astuja,1,S,sg g,astuja
Astuuria,1,H,sg n,Astuuria
Astuuria,1,H,sg g,Astuuria
asula,1,S,sg n,asula
asula,1,S,sg g,asula
asutaja,1,S,sg n,asutaja
asutaja,1,S,sg g,asutaja
asümmeetria,1,S,sg n,asümmeetria
asümmeetria,1,S,sg g,asümmeetria
Atika,1,H,sg n,Atika
Atika,1,H,sg g,Atika
Atlandi,1,H,sg n,Atlandi
Atlandi,1,H,sg g,Atlandi
atleetika,1,S,sg n,atleetika
atleetika,1,S,sg g,atleetika
atomistika,1,S,sg n,atomistika
atomistika,1,S,sg g,atomistika
atribuutika,1,S,sg n,atribuutika
atribuutika,1,S,sg g,atribuutika
atroofia,1,S,sg n,atroofia
atroofia,1,S,sg g,atroofia
audio,1,A,sg n,audio
audio,1,A,sg g,audio
audioloogia,1,S,sg n,audioloogia
audioloogia,1,S,sg g,audioloogia
augustaja,1,S,sg n,augustaja
augustaja,1,S,sg g,augustaja
aurusti,1,S,sg n,aurusti
aurusti,1,S,sg g,aurusti
auruti,1,S,sg n,auruti
auruti,1,S,sg g,auruti
austaja,1,S,sg n,austaja
austaja,1,S,sg g,austaja
Austraalia,1,H,sg n,Austraalia
Austraalia,1,H,sg g,Austraalia
Austria,1,H,sg n,Austria
Austria,1,H,sg g,Austria
autarkia,1,S,sg n,autarkia
autarkia,1,S,sg g,autarkia
automaatika,1,S,sg n,automaatika
automaatika,1,S,sg g,automaatika
autonoomia,1,S,sg n,autonoomia
autonoomia,1,S,sg g,autonoomia
autopsia,1,S,sg n,autopsia
autopsia,1,S,sg g,autopsia
autotüüpia,1,S,sg n,autotüüpia
autotüüpia,1,S,sg g,autotüüpia
autu,1,A,sg n,autu
autu,1,A,sg g,autu
avaja,1,S,sg n,avaja
avaja,1,S,sg g,avaja
