source_value,source_concept_id,concept_id
C07AA23,21601679,1327978
C07AB01,21601683,19135791
C07AB02,21601684,1307046
C07AB03,21601685,1314002
C07AB04,21601686,1319998
C07AB05,21601687,1322081
C07AB07,21601689,1338005
C07AB08,21601690,19049145
C07AB09,21601691,19063575
C07AB12,21601694,1314577
C07AB13,21601695,19100435
C07AG01,21601699,1386957
C07AG02,21601700,1346823
C08CA01,21601747,1332418
C08CA02,21601748,1353776
C08CA03,21601749,1326012
C08CA04,21601750,1318137
C08CA05,21601751,1318853
C08CA06,21601752,1319133
C08CA07,21601753,1319880
C08CA08,21601754,19020061
C08CA09,21601755,19004539
C08CA10,21601756,19113063
C08CA11,21601757,19071995
C08CA12,21601758,19102106
C08CA13,21601759,19015802
C08CA16,40256090,19089969
C08CX01,21601764,1345141
C08DA01,21601767,1307863
C08DA02,21601768,19057715
C08DB01,21601771,1328165
C08EA01,21601774,19053866
C08EA02,21601775,1319751
C08EX01,21601777,19124331
C08EX02,21601778,19032359
C09AA01,21601785,1340128
C09AA02,21601786,1341927
C09AA03,21601787,1308216
C09AA04,21601788,1373225
C09AA05,21601789,1334456
C09AA06,21601790,1331235
C09AA07,21601791,1335471
C09AA08,21601792,19050216
C09AA09,21601793,1363749
C09AA10,21601794,1342439
C09AA11,21601795,19040051
C09AA13,21601797,1310756
C09AA15,21601799,19102107
C09AA16,21601800,19122327
C09CA01,21601824,1367500
C09CA02,21601825,1346686
C09CA03,21601826,1308842
C09CA04,21601827,1347384
C09CA06,21601829,1351557
C09CA07,21601830,1317640
C09XA02,21601851,1317967
C10AA01,21601856,1539403
C10AA02,21601857,1592085
C10AA03,21601858,1551860
C10AA04,21601859,1549686
C10AA05,21601860,1545958
C10AA06,21601861,1592180
C10AA07,21601862,1510813
C10AA08,21601863,40165636
C10AB01,21601865,1598658
C10AB02,21601866,19022956
C10AB04,21601868,1558242
C10AB05,21601869,1551803
C10AB08,21601872,19050375
C10AB09,21601873,19060156
C10AB11,40256457,43560137
C10AC01,21601876,19095309
C10AC02,21601877,1501617
C10AC04,21601879,1518148
C10AD02,21601882,1517824
C10AD03,21601883,19004049
C10AD05,21601885,19018823
C10AD06,21601886,19029644
C10AX01,21601889,19022003
C10AX02,21601890,19051463
C10AX03,21601891,19100753
C10AX08,21601895,1508241
C10AX09,21601896,1526475
C10AX11,40256481,43014182
C10AX12,43534774,43013119
C10AX13,45893463,46287466
C10AX14,1123741,46275447
D01AA01,21601911,922570
D01AA02,21601912,915392
D01AA08,21601917,1763779
D01AC01,21601920,1000632
D01AC02,21601921,907879
D01AC03,21601922,940864
D01AC05,21601924,19003491
D01AC06,21601925,1837289
D01AC07,21601926,942028
D01AC08,21601927,985708
D01AC09,21601928,940535
D01AC10,21601929,19037560
D01AC11,21601930,918222
D01AC12,21601931,19095729
D01AC13,21601932,19016974
D01AC14,21601933,939134
D01AC15,21601934,1754994
D01AC16,21601935,19123624
D01AC18,1588693,44507693
D01AC19,1588694,45775080
D01AE05,21601944,19026609
D01AE07,21601946,19092712
D01AE11,21601950,19101422
D01AE12,21601951,964407
D01AE13,21601952,938061
D01AE14,21601953,950098
D01AE15,21601954,1741309
D01AE16,21601955,19032619
D01AE18,21601957,902950
D01AE19,21601958,19042099
D01AE21,21601960,1755112
D01AE22,21601961,914053
D01AE23,21601962,958396
D01AE24,1502089,45776537
D01BA01,21601966,1763779
D01BA02,21601967,1741309
D02AE01,21601975,906914
D02BA01,21601981,19018384
D02BA02,21601982,915391
D02BB01,21601984,19037223
D03AX01,21601989,1740226
D03AX02,21601990,19088340
D03AX03,21601991,988294
D03AX06,21601994,912476
D03AX10,21601996,42899194
D03AX11,40252055,40180818
D03AX12,45893526,942691
D03BA01,21601999,906149
D03BA02,21602000,980311
D03BA03,44819156,19030387
D04AA01,21602005,43012162
D04AA02,21602006,1159811
D04AA04,21602008,1105853
D04AA09,21602009,19049437
D04AA10,21602010,1153013
D04AA13,21602012,19028947
D04AA14,21602013,1197677
D04AA15,21602014,19034280
D04AA16,45893472,933952
D04AA22,21602015,19003593
D04AA32,21602016,1129625
D04AA34,21602018,19049707
D04AB01,21602020,989878
D04AB02,21602021,923840
D04AB03,21602022,935529
D04AB04,21602023,917006
D04AB06,21602025,1036884
D04AB07,21602026,927478
D05AC01,21602032,952538
D05AD01,21602035,905829
D05AD02,21602036,905223
D05AX02,21602039,908921
D05AX03,21602040,19035631
D05AX04,21602041,19008361
D05AX05,21602042,947416
D05BA01,21602046,905829
D05BA02,21602047,905223
D05BA03,21602048,19018285
D05BB01,21602050,19050554
D05BB02,21602051,929638
D06AA01,21602057,1714527
D06AA02,21602058,19095043
D06AA03,21602059,925952
D06AA04,21602060,1836948
D06AX02,21602063,990069
D06AX04,21602064,915981
D06AX05,21602065,915175
D06AX08,21602067,19006842
D06AX09,21602068,951511
D06AX10,21602069,19010969
D06AX11,21602070,1735947
D06AX12,21602071,1790868
D06AX13,21602072,991003
D06AX14,1502050,793561
D06BA01,21602075,966956
D06BA02,21602076,1036487
D06BA03,21602077,992716
D06BA04,21602078,1036425
D06BA05,21602079,1036475
D06BA06,21602080,19136426
D06BB01,21602083,19078156
D06BB02,21602084,19101679
D06BB03,21602085,1703687
D06BB04,21602086,947705
D06BB05,21602087,44784845
D06BB06,21602088,981654
D06BB07,21602089,43532424
D06BB09,21602091,19063245
D06BB10,21602092,981691
D06BB11,21602093,980955
D06BB12,40252395,921956
D06BX01,21602096,1707164
D06BX02,43534781,42709320
D07AA01,21602101,1506270
D07AA02,21602102,975125
D07AA03,21602103,1550557
D07AB01,21602105,19005129
D07AB03,21602107,19055156
D07AB06,21602110,955583
D07AB07,21602111,19056447
D07AB08,21602112,917205
D07AB09,21602113,903963
D07AB10,21602114,905151
D07AB19,21602116,1518254
D07AB21,21602117,950882
D07AC01,21602120,920458
D07AC02,21602121,19009949
D07AC03,21602122,917336
D07AC05,21602124,19055344
D07AC06,21602125,19026096
D07AC07,21602126,956266
D07AC08,21602127,955252
D07AC09,21602128,939259
D07AC10,21602129,960988
D07AC11,21602130,930747
D07AC12,21602131,19068896
D07AC13,21602132,905233
D07AC15,21602134,1115572
D07AC17,21602136,1149380
D07AC18,21602137,928110
D07AC19,21602138,19089579
D07AC21,21602139,949759
D07AD01,21602141,998415
D07AD02,21602142,966468
D07XA01,21602180,975125
D07XA02,21602181,1550557
D07XB01,21602183,19055156
D07XB02,21602184,903963
D07XB03,21602185,19056447
D07XB04,21602186,955583
D07XB05,21602187,1518254
D07XC01,21602190,920458
D07XC02,21602191,917336
D07XC03,21602192,905233
D07XC04,21602193,19026096
D07XC05,45893507,19055344
D08AA02,21602199,19091514
D08AA03,21602200,19095766
D08AC01,21602203,19089408
D08AC02,21602204,1790812
D08AC03,21602205,19029108
D08AC04,21602206,19001599
D08AC05,21602207,43525903
D08AE01,21602211,1768734
D08AE02,21602212,19075109
D08AE03,21602213,923540
D08AE04,21602214,1704758
D08AE05,21602215,949459
D08AF01,21602218,920378
D08AG02,21602221,1750087
D08AG03,21602222,1780601
D08AH01,21602225,19016063
D08AH02,21602226,19095028
D08AH03,21602227,906874
D08AH30,21602228,980867
D08AJ01,21602230,916460
D08AJ02,21602231,19049284
D08AJ03,21602232,989301
D08AJ04,21602233,19007748
D08AJ06,21602235,40226492
D08AJ08,21602236,19009686
D08AK03,21602243,42899414
D08AK06,21602246,19137377
D08AK30,21602247,43532441
D08AL01,21602249,966913
D08AX01,21602252,1776430
D08AX02,21602253,42899052
D08AX03,21602254,43012215
D08AX04,21602255,19036053
D08AX05,21602256,19028106
D08AX06,21602257,19135788
D08AX08,21602259,955372
D09AA01,21602264,19056694
D09AA03,21602266,920378
D09AA04,21602267,19058371
D09AA05,21602268,42900317
D09AA06,21602269,1704758
D09AA07,21602270,989301
